지역,인구수,개업률,폐업률,점포수,평균영업기간,신생기업_생존율_1년,신생기업_생존율_3년,신생기업_생존율_5년,연차별_생존율_1년,연차별_생존율_3년,연차별_생존율_5년,임대시세
종로구,28076.95204609577,224,196,6916,2.958333333333333,83.5,55.9,38.1,75.9,37.6,50.3,177511
중구,58442.36951806262,203,178,6550,2.958333333333333,85.4,55.1,38.9,73.6,38.2,50.5,229682
용산구,30207.049782792736,217,155,5254,2.8916666666666666,84.3,51.9,33.4,71.9,33.1,45.9,125736
성동구,45340.42416050382,199,166,4536,2.683333333333333,80.5,49.6,32.1,73.4,31.1,45.4,128099
광진구,54688.833171556864,235,231,5337,2.675,76.3,48.7,33.2,72.4,33.1,43.1,107323
동대문구,74151.31468696389,208,183,5008,2.683333333333333,79.7,45.8,30.5,71.3,30.3,40.5,95064
중랑구,54793.09344230757,203,175,4359,2.533333333333333,75.8,44.3,28.4,66.8,28.1,38.2,84927
성북구,48536.156030918,170,169,4790,2.7666666666666666,80.9,51.3,28.5,71.9,27.6,40.2,99058
강북구,42030.39074169885,172,167,3928,2.5,72.2,44.0,26.2,65.9,25.9,37.1,89810
도봉구,32255.82464706789,106,113,3084,2.6333333333333333,79.1,47.0,32.0,68.3,31.5,42.4,84510
노원구,28540.41534965175,191,175,4689,2.7333333333333334,75.9,47.7,32.1,71.0,31.8,43.7,102629
은평구,34310.51992805298,236,193,4874,2.5416666666666665,75.2,47.8,29.7,70.4,29.2,40.8,96815
서대문구,52868.28783037114,161,157,4496,2.7583333333333333,81.4,48.0,32.9,71.6,32.6,44.4,114173
마포구,48039.40982353741,455,365,9615,2.6416666666666666,78.9,48.2,29.8,70.7,29.6,40.7,139995
양천구,46157.71588224242,199,159,4157,2.6,79.3,46.6,27.8,69.2,27.8,40.3,103309
강서구,27878.18317526767,366,316,7116,2.5166666666666666,75.7,47.3,30.8,69.3,30.4,42.2,118852
구로구,39428.22681629874,198,177,4999,2.658333333333333,79.6,46.5,30.7,68.7,30.4,39.9,101315
금천구,30033.525175339088,191,130,3721,2.5916666666666663,79.9,49.4,29.4,68.8,29.2,39.6,108056
영등포구,44294.26776345599,310,240,7840,2.708333333333333,79.5,51.7,33.1,70.0,32.5,43.7,110217
동작구,52523.056871471,147,172,4296,2.833333333333333,78.7,48.9,33.4,71.7,32.9,45.0,130118
관악구,44508.28900574013,287,247,6001,2.5,72.4,46.0,26.0,64.4,25.9,37.2,107310
서초구,21432.46243189441,283,260,7527,2.8666666666666663,80.8,52.8,33.0,71.5,32.3,45.5,128544
강남구,36177.36877117948,668,479,13885,2.658333333333333,77.0,48.7,31.4,68.7,31.3,42.0,150923
송파구,37508.06609464827,394,320,8715,2.6083333333333334,75.3,49.5,31.8,71.3,31.5,43.7,153891
강동구,45424.60950698441,249,213,5416,2.5666666666666664,77.3,45.2,29.5,67.5,29.1,39.7,106353
