구,Korean_Density,Japanese_Density,Western_Density,Chinese_Density,Cafe_Density
중구,456.0240964,65.96385542,97.89156627,42.67068273,151.9076305
송파구,199.8819362,23.76033058,22.34356553,12.01298701,23.40613932
강동구,168.3889341,15.21562246,15.13425549,11.3913751,10.04882018
종로구,188.7913007,19.44792974,64.19907988,10.83228775,83.73065663
용산구,123.5025149,22.13077275,71.5134888,9.55647005,95.24462734
구로구,183.1924416,15.51466932,11.83490801,32.17304823,12.23272004
강서구,156.3118513,18.24764663,26.09220372,11.19961381,6.42046826
강남구,267.8806272,51.74506829,135.2554375,19.82802226,28.42690946
중랑구,183.3513514,13.83783784,9.405405405,10.16216216,40.16216216
성동구,197.5074184,20.65281899,34.48071217,11.5727003,91.63204748
동대문구,294.1590429,21.74524982,26.24912034,22.30823364,87.05137227
성북구,131.4611315,12.73911274,15.995116,10.7041107,65.32356532
도봉구,112.8985507,11.5942029,9.371980676,7.536231884,16.28019324
은평구,151.3968361,12.82396499,10.56883204,7.943453383,8.515651296
마포구,225.1256281,48.61809045,54.77386935,20.51926298,57.99832496
관악구,156.8481569,17.24721001,27.3588096,12.78322624,10.41596212
서초구,115.1605358,14.71401233,25.57941739,9.164363172,12.73655114
양천구,161.1494253,17.24137931,13.33333333,14.59770115,17.01149425
영등포구,250.956451,29.91452991,28.8970289,41.67684168,66.62596663
동작구,153.0275229,17.18654434,20,13.76146789,66.97247706
광진구,221.7008798,34.78005865,32.49266862,26.62756598,44.86803519
서대문구,188.7563884,19.76149915,46.56445202,16.01362862,18.56899489
금천구,243.735588,15.21906226,15.52651806,31.36049193,10.60722521
노원구,89.38452851,10.02258611,9.00621118,7.312252964,23.57425184
강북구,135.2118644,9.830508475,7.5,7.415254237,51.3559322
