Region,Population,Business Opening Rate,Business Closing Rate,Number of Stores,Average Operating Period,Startup Survival Rate (1 Year),Startup Survival Rate (3 Years),Startup Survival Rate (5 Years),Annual Survival Rate (1 Year),Annual Survival Rate (3 Years),Annual Survival Rate (5 Years),Rent Price,Area,Bus Station,Subway Station,Population Density,Store Density,Business Opening Rate (%),Business Closing Rate (%)
강남구,36494.306793848344,602.3333333333334,522.6666666666666,13547.5,2.6777777777777776,74.56666666666666,46.06666666666667,30.466666666666665,69.26666666666667,30.0,41.56666666666667,152601.16666666666,39.54,393.0,21.0,922.9718460760837,342.6277187658068,4.454422079649739,3.86804898654993
강동구,45222.20515647796,253.5,230.66666666666666,5313.5,2.6055555555555556,73.85000000000001,44.11666666666667,27.96666666666667,68.25,27.55,39.949999999999996,102490.0,24.58,247.0,14.0,1839.796792370951,216.17168429617575,4.777610974770776,4.345623850108271
강북구,41341.13770589732,177.16666666666666,178.0,3886.1666666666665,2.569444444444444,71.96666666666667,41.9,26.900000000000002,66.05,26.433333333333334,38.13333333333333,84799.33333333333,23.600000000000005,242.0,3.0,1751.743123131242,164.6680790960452,4.563202521827251,4.579920979263308
강서구,28314.259436473247,371.6666666666667,311.6666666666667,6845.833333333333,2.5444444444444443,74.45,44.333333333333336,28.933333333333334,68.78333333333333,28.383333333333336,41.15,112407.83333333333,41.43,400.0,9.0,683.4240752226224,165.2385549923566,5.447018391010173,4.548631907795865
관악구,44779.760406628484,290.6666666666667,264.5,5855.833333333333,2.5597222222222222,72.38333333333334,42.5,26.516666666666666,66.01666666666667,26.133333333333336,38.85,104736.0,29.570000000000004,300.0,4.0,1514.3645724257183,198.03291624394092,4.968085313497077,4.519208683345874
광진구,56006.18327199205,233.83333333333334,216.0,5246.666666666667,2.720833333333333,75.58333333333333,46.76666666666667,30.016666666666666,70.76666666666667,29.46666666666667,42.88333333333333,101582.0,17.05,185.0,11.0,3284.820133254665,307.72238514173995,4.461329608016288,4.11575459064456
구로구,39582.2111450235,214.16666666666666,204.0,4981.166666666667,2.673611111111111,75.39999999999999,45.083333333333336,28.866666666666664,67.89999999999999,28.366666666666664,40.833333333333336,113708.0,20.11,349.0,7.0,1968.2849898072354,247.69600530416048,4.299732162072941,4.099519923987258
금천구,29777.34145566563,178.83333333333334,150.16666666666666,3641.6666666666665,2.6305555555555555,74.53333333333333,45.88333333333333,28.75,67.5,28.349999999999998,40.68333333333333,99577.66666666667,13.01,215.0,1.0,2288.804108813654,279.91288752241866,4.923310783200582,4.126744054348289
노원구,28344.043593186405,192.66666666666666,187.33333333333334,4611.833333333333,2.7624999999999997,74.88333333333334,46.333333333333336,31.266666666666666,70.18333333333334,30.916666666666668,43.98333333333334,107316.33333333333,35.42,352.0,13.0,800.2270918460305,130.20421607378128,4.180314127097017,4.063743247439761
도봉구,32034.16762759363,129.83333333333334,124.66666666666667,3040.8333333333335,2.670833333333333,75.39999999999999,45.68333333333334,29.266666666666666,68.14999999999999,28.75,41.11666666666667,90403.66666666667,20.7,221.0,3.0,1547.544329835441,146.90016103059583,4.274559100004136,4.101869523601837
동대문구,75566.3464340735,214.33333333333334,189.16666666666666,5003.333333333333,2.7305555555555556,75.81666666666666,46.01666666666667,30.03333333333333,69.51666666666667,29.55,41.949999999999996,92626.5,14.21,227.0,6.0,5317.828742721568,352.09946047384466,4.284648558008336,3.783368927741797
동작구,53720.543888633976,176.33333333333334,170.33333333333334,4309.166666666667,2.8444444444444446,77.98333333333333,48.166666666666664,31.883333333333336,72.06666666666666,31.28333333333333,44.98333333333333,119571.16666666667,16.35,291.0,12.0,3285.6601766748604,263.55759429153926,4.090143409860203,3.951602957133787
마포구,48995.893336007546,456.3333333333333,401.1666666666667,9511.333333333334,2.658333333333333,76.2,45.699999999999996,29.116666666666664,71.05,28.733333333333334,42.0,135116.66666666666,23.88,320.0,16.0,2051.7543273034985,398.29704075935234,4.80889799799209,4.232238503208079
서대문구,54086.837685833045,173.0,164.16666666666666,4502.333333333333,2.784722222222222,77.71666666666667,47.699999999999996,31.316666666666666,71.08333333333333,30.683333333333337,43.550000000000004,113273.83333333333,17.61,317.0,5.0,3071.370680626522,255.66912738974068,3.841833181078495,3.6458628724375637
서초구,21440.354601986066,284.3333333333333,263.6666666666667,7556.333333333333,2.8722222222222222,77.66666666666667,50.550000000000004,33.25,72.06666666666668,32.53333333333333,45.61666666666667,126758.83333333333,47.03,431.0,12.0,455.88676593633994,160.670494010915,3.7651956573542074,3.487945870087263
성동구,44732.31242936417,209.0,157.0,4409.333333333333,2.744444444444444,79.06666666666666,48.96666666666667,32.35,73.39999999999999,31.816666666666666,45.18333333333334,133941.83333333334,16.85,307.0,14.0,2654.736642692236,261.68150346191885,4.758467497447827,3.568640786575555
성북구,49193.1869776373,186.33333333333334,179.83333333333334,4768.5,2.797222222222222,78.23333333333333,48.78333333333333,31.433333333333334,71.63333333333334,30.900000000000002,44.15,96223.33333333333,24.570000000000004,387.0,9.0,2002.1647121545502,194.07814407814408,3.909133654602485,3.771310155839076
송파구,37361.05131193784,404.5,357.0,8522.333333333334,2.631944444444444,73.48333333333333,45.9,30.733333333333334,69.38333333333334,30.233333333333334,42.833333333333336,134806.5,33.88,363.0,28.0,1102.746496810444,251.54466745375836,4.753716259824464,4.189807315269352
양천구,46375.9279942092,194.0,180.0,4054.5,2.6416666666666666,74.96666666666667,44.51666666666667,27.816666666666666,68.31666666666666,27.53333333333333,41.0,101594.0,17.4,236.0,5.0,2665.2832180580003,233.01724137931038,4.788584723262045,4.443031178529121
영등포구,44198.97057966704,336.1666666666667,296.3333333333333,7733.333333333333,2.747222222222222,77.31666666666666,48.21666666666667,32.083333333333336,70.5,31.7,43.916666666666664,106767.83333333333,24.570000000000004,325.0,11.0,1798.8999014923495,314.7469814136481,4.35225844709684,3.83434382408757
용산구,29607.757903929236,199.83333333333334,164.83333333333334,5246.5,2.8833333333333333,81.39999999999999,51.81666666666666,34.61666666666667,73.66666666666667,34.1,47.38333333333333,124545.0,21.87,223.0,10.0,1353.8069457672261,239.89483310470965,3.8142367380172053,3.147175461974463
은평구,35262.61498020017,227.33333333333334,197.83333333333334,4737.5,2.5875,73.81666666666666,44.4,27.78333333333333,67.78333333333333,27.21666666666667,39.71666666666667,92640.0,29.709999999999997,310.0,13.0,1186.893806132621,159.45809491753616,4.809062224163608,4.179826066901428
종로구,28232.81482769581,248.16666666666666,232.83333333333334,6974.5,2.9874999999999994,79.85000000000001,53.31666666666666,37.31666666666666,75.10000000000001,36.766666666666666,49.78333333333333,185548.83333333334,23.91,290.0,15.0,1180.7952667375914,291.69803429527394,3.5566123531194904,3.3381262381916845
중구,59837.44400603431,221.0,203.0,6597.0,2.9916666666666667,79.73333333333333,53.833333333333336,36.449999999999996,73.53333333333333,35.81666666666667,48.31666666666666,244672.83333333334,9.96,172.0,23.0,6007.775502613887,662.3493975903614,3.347949305555795,3.0767359890957273
중랑구,54356.924304837594,202.83333333333334,194.83333333333334,4314.333333333333,2.5791666666666666,72.03333333333333,42.28333333333333,27.016666666666666,65.98333333333333,26.71666666666667,38.300000000000004,81087.0,18.5,234.0,8.0,2938.2121245858157,233.20720720720723,4.70378649294062,4.5176622983072585
