Region,Korean_Density,Japanese_Density,Western_Density,Chinese_Density,Cafe_Density,Population,Business Opening Rate,Business Closing Rate,Number of Stores,Average Operating Period,Startup Survival Rate (1 Year),Startup Survival Rate (3 Years),Startup Survival Rate (5 Years),Annual Survival Rate (1 Year),Annual Survival Rate (3 Years),Annual Survival Rate (5 Years),Rent Price,Area,Bus Station,Subway Station,Population Density,Store Density,Business Opening Rate (%),Business Closing Rate (%)
중구,456.0240964,65.96385542,97.89156627,42.67068273,151.9076305,59837.44401,221,203,6597,2.991666667,79.73333333,53.83333333,36.45,73.53333333,35.81666667,48.31666667,244672.8333,9.96,172,23,6007.775503,662.3493976,3.347949306,3.076735989
송파구,199.8819362,23.76033058,22.34356553,12.01298701,23.40613932,37361.05131,404.5,357,8522.333333,2.631944444,73.48333333,45.9,30.73333333,69.38333333,30.23333333,42.83333333,134806.5,33.88,363,28,1102.746497,251.5446675,4.75371626,4.189807315
강동구,168.3889341,15.21562246,15.13425549,11.3913751,10.04882018,45222.20516,253.5,230.6666667,5313.5,2.605555556,73.85,44.11666667,27.96666667,68.25,27.55,39.95,102490,24.58,247,14,1839.796792,216.1716843,4.777610975,4.34562385
종로구,188.7913007,19.44792974,64.19907988,10.83228775,83.73065663,28232.81483,248.1666667,232.8333333,6974.5,2.9875,79.85,53.31666667,37.31666667,75.1,36.76666667,49.78333333,185548.8333,23.91,290,15,1180.795267,291.6980343,3.556612353,3.338126238
용산구,123.5025149,22.13077275,71.5134888,9.55647005,95.24462734,29607.7579,199.8333333,164.8333333,5246.5,2.883333333,81.4,51.81666667,34.61666667,73.66666667,34.1,47.38333333,124545,21.87,223,10,1353.806946,239.8948331,3.814236738,3.147175462
구로구,183.1924416,15.51466932,11.83490801,32.17304823,12.23272004,39582.21115,214.1666667,204,4981.166667,2.673611111,75.4,45.08333333,28.86666667,67.9,28.36666667,40.83333333,113708,20.11,349,7,1968.28499,247.6960053,4.299732162,4.099519924
강서구,156.3118513,18.24764663,26.09220372,11.19961381,6.42046826,28314.25944,371.6666667,311.6666667,6845.833333,2.544444444,74.45,44.33333333,28.93333333,68.78333333,28.38333333,41.15,112407.8333,41.43,400,9,683.4240752,165.238555,5.447018391,4.548631908
강남구,267.8806272,51.74506829,135.2554375,19.82802226,28.42690946,36494.30679,602.3333333,522.6666667,13547.5,2.677777778,74.56666667,46.06666667,30.46666667,69.26666667,30,41.56666667,152601.1667,39.54,393,21,922.9718461,342.6277188,4.45442208,3.868048987
중랑구,183.3513514,13.83783784,9.405405405,10.16216216,40.16216216,54356.9243,202.8333333,194.8333333,4314.333333,2.579166667,72.03333333,42.28333333,27.01666667,65.98333333,26.71666667,38.3,81087,18.5,234,8,2938.212125,233.2072072,4.703786493,4.517662298
성동구,197.5074184,20.65281899,34.48071217,11.5727003,91.63204748,44732.31243,209,157,4409.333333,2.744444444,79.06666667,48.96666667,32.35,73.4,31.81666667,45.18333333,133941.8333,16.85,307,14,2654.736643,261.6815035,4.758467497,3.568640787
동대문구,294.1590429,21.74524982,26.24912034,22.30823364,87.05137227,75566.34643,214.3333333,189.1666667,5003.333333,2.730555556,75.81666667,46.01666667,30.03333333,69.51666667,29.55,41.95,92626.5,14.21,227,6,5317.828743,352.0994605,4.284648558,3.783368928
성북구,131.4611315,12.73911274,15.995116,10.7041107,65.32356532,49193.18698,186.3333333,179.8333333,4768.5,2.797222222,78.23333333,48.78333333,31.43333333,71.63333333,30.9,44.15,96223.33333,24.57,387,9,2002.164712,194.0781441,3.909133655,3.771310156
도봉구,112.8985507,11.5942029,9.371980676,7.536231884,16.28019324,32034.16763,129.8333333,124.6666667,3040.833333,2.670833333,75.4,45.68333333,29.26666667,68.15,28.75,41.11666667,90403.66667,20.7,221,3,1547.54433,146.900161,4.2745591,4.101869524
은평구,151.3968361,12.82396499,10.56883204,7.943453383,8.515651296,35262.61498,227.3333333,197.8333333,4737.5,2.5875,73.81666667,44.4,27.78333333,67.78333333,27.21666667,39.71666667,92640,29.71,310,13,1186.893806,159.4580949,4.809062224,4.179826067
마포구,225.1256281,48.61809045,54.77386935,20.51926298,57.99832496,48995.89334,456.3333333,401.1666667,9511.333333,2.658333333,76.2,45.7,29.11666667,71.05,28.73333333,42,135116.6667,23.88,320,16,2051.754327,398.2970408,4.808897998,4.232238503
