,2018,2019,2020,2021,2022,2023
종로구,296,268,220,224,249,232
중구,224,267,194,203,202,236
용산구,205,219,163,217,218,177
성동구,196,231,207,199,211,210
광진구,241,240,230,235,235,222
동대문구,235,243,190,208,196,214
중랑구,206,213,199,203,182,214
성북구,196,194,184,170,184,190
강북구,184,230,169,172,163,145
도봉구,140,152,141,106,118,122
노원구,168,249,193,191,174,181
은평구,228,257,233,236,194,216
서대문구,211,202,149,161,149,166
마포구,481,501,419,455,429,453
양천구,185,208,198,199,176,198
강서구,340,413,389,366,327,395
구로구,231,231,184,198,211,230
금천구,184,209,164,191,149,176
영등포구,300,402,343,310,303,359
동작구,209,205,164,147,171,162
관악구,291,324,283,287,259,300
서초구,272,331,269,283,265,286
강남구,606,676,540,668,520,604
송파구,388,457,385,394,380,423
강동구,247,293,257,249,211,264
