구,한식,일식,양식,중식,카페
강남구,10592,2046,5348,784,45
강동구,4139,374,372,280,16
강북구,3191,232,177,175,14
강서구,6476,756,1081,464,9
고양시,3,0,0,0,0
관악구,4638,510,809,378,15
광진구,3780,593,554,454,22
구로구,3684,312,238,647,16
금천구,3171,198,202,408,6
노원구,3166,355,319,259,8
도봉구,2337,240,194,156,8
동대문구,4180,309,373,317,27
동작구,2502,281,327,225,17
마포구,5376,1161,1308,490,55
부천시,1,0,0,0,0
서대문구,3324,348,820,282,12
서초구,5416,692,1203,431,23
성남시,1,0,0,0,0
성동구,3328,348,581,195,25
성북구,3230,313,393,263,21
송파구,6772,805,757,407,30
양천구,2804,300,232,254,10
영등포구,6166,735,710,1024,34
용산구,2701,484,1564,209,16
은평구,4498,381,314,236,11
종로구,4514,465,1535,259,29
중구,4542,657,975,425,19
중랑구,3392,256,174,188,14
하남시,0,0,1,0,0
