,2018,2019,2020,2021,2022,2023
종로구,32.8,34.1,36.3,38.1,39.3,43.3
중구,32.8,31.8,37,38.9,36.2,42
용산구,30.4,34.9,30.7,33.4,38.3,40
성동구,30.9,30.3,30.1,32.1,35.5,35.2
광진구,24.8,25.3,30.5,33.2,32.8,33.5
동대문구,25.6,28.2,27.2,30.5,34.3,34.4
중랑구,21.1,24.2,26.8,28.4,30.4,31.2
성북구,26.8,31.8,29.6,28.5,34.6,37.3
강북구,22.2,24.5,25.9,26.2,31.7,30.9
도봉구,22.4,26.8,29.2,32,31.2,34
노원구,29.1,28,29.9,32.1,33.8,34.7
은평구,20.7,25.6,27.2,29.7,30.4,33.1
서대문구,24.1,31.4,31.9,32.9,32.6,35
마포구,24.3,26.5,28.3,29.8,30.3,35.5
양천구,25.2,23.7,24.9,27.8,32.9,32.4
강서구,24,26.4,27.1,30.8,32.4,32.9
구로구,23.1,26,28.7,30.7,33.3,31.4
금천구,23.7,23.4,27.6,29.4,32.3,36.1
영등포구,26.7,29.3,28.8,33.1,36.7,37.9
동작구,30.6,29.5,29.7,33.4,34.2,33.9
관악구,23.4,24.4,24.5,26,29.7,31.1
서초구,28.1,29.2,30.3,33,38.4,40.5
강남구,22.9,29.2,28.9,31.4,33.8,36.6
송파구,25.8,28.7,30,31.8,33.2,34.9
강동구,23.7,24.1,26.2,29.5,32.4,31.9
