,2018,2019,2020,2021,2022,2023
종로구,46.4,50.7,48.3,50.3,48.3,54.7
중구,45.2,43.4,47.5,50.5,48.9,54.4
용산구,44,46.2,46.3,45.9,50.7,51.2
성동구,46.4,41.8,41.1,45.4,48,48.4
광진구,36.1,40.1,44,43.1,46.1,47.9
동대문구,39.7,42.5,39.8,40.5,44.2,45
중랑구,31.8,37,38.1,38.2,41,43.7
성북구,39.2,45,42.9,40.2,46.5,51.1
강북구,34.4,36.4,36.4,37.1,41.1,43.4
도봉구,33.6,40.5,41.4,42.4,42.2,46.6
노원구,41.7,44.2,41.9,43.7,45.2,47.2
은평구,32.5,37.6,39.3,40.8,41.4,46.7
서대문구,38.6,44.4,44.6,44.4,42.8,46.5
마포구,39.4,40.3,42,40.7,42.2,47.4
양천구,37.4,38.7,38.2,40.3,45.4,46
강서구,35.1,38.8,39.7,42.2,44.2,46.9
구로구,35.4,38.3,40.7,39.9,44.3,46.4
금천구,36.6,35.8,39.5,39.6,43.6,49
영등포구,39.8,40.5,41.3,43.7,46.9,51.3
동작구,42.8,44.6,42.8,45,46.6,48.1
관악구,35.3,38.1,36.7,37.2,40.4,45.4
서초구,41.4,42,44.4,45.5,48.6,51.8
강남구,34.9,40.7,39.8,42,43.9,48.1
송파구,38.3,39.8,41.1,43.7,45,49.1
강동구,36.4,35.8,40.4,39.7,42.8,44.6
