,2018,2019,2020,2021,2022,2023
종로구,23431.51338456086,32045.967400682825,27756.141968807202,28076.952046095772,29281.202392012055,28805.111774016154
중구,53410.04982867668,66850.68411235831,58265.87762467175,58442.36951806262,60951.083653231544,61104.59929920496
용산구,26421.107609360657,31964.735287939555,30340.053095484072,30207.049782792736,29431.92385209221,29281.677795906176
성동구,40311.923407366696,47914.55138868972,45775.138011901734,45340.42416050382,44599.49487497894,44452.34273274414
광진구,58190.11821095787,57623.24604315444,56306.435562895094,54688.833171556864,54298.63616858428,54929.83047480373
동대문구,73617.71443912051,79059.14247131858,75893.85508661033,74151.31468696389,75053.7054568433,75622.34646358434
중랑구,53059.78343509993,55522.583377313545,56865.192845259204,54793.09344230757,53077.13641924922,52823.756309796074
성북구,45627.24987974912,52075.3321929695,50325.39275292472,48536.156030918,49193.04491753717,49401.94609172531
강북구,37080.3690526649,44053.996505406634,43395.07538381703,42030.390741698844,41080.98735183883,40406.00719995767
도봉구,32054.07618494801,32863.52202882692,32805.12474229578,32255.82464706789,31369.636225098606,30856.821937324556
노원구,26569.702400658447,30364.401404644752,30033.721415878474,28540.41534965175,27243.512229144137,27312.508759140856
은평구,40315.19273379065,34726.80220207456,35130.111115300766,34310.51992805298,33545.13325790825,33547.930644073815
서대문구,54715.52854118732,55253.527118526894,53006.49836631083,52868.28783037114,53890.69041008025,54786.49384852182
마포구,47048.84543011885,52333.91345066316,48955.34673471358,48039.40982353741,48833.53259692961,48764.31198008267
양천구,48222.05739767454,47710.58070626573,47207.85124407994,46157.71588224242,44180.69719738239,44776.665537610206
강서구,28793.753728571224,28672.99001077487,29086.275044077374,27878.18317526767,27782.156569223607,27672.198090924714
구로구,37897.52974832979,40555.61601626221,40283.63864221645,39428.22681629874,39370.65021656647,39957.605430467374
금천구,30595.371874916764,30684.08802825754,30039.183692780654,30033.525175339088,29219.596438847075,28092.283523852682
영등포구,41385.1037602913,45382.16419799899,43974.42113009003,44294.26776345599,44882.11490393842,45275.75172222748
동작구,54972.18658558864,57358.71853815622,54343.17458191601,52523.056871471,52810.895234347234,50315.23152032472
관악구,44862.787246598105,46404.17505146758,45364.215163372224,44508.289005740124,43965.87011686039,43573.225855732475
서초구,21661.012158655998,22481.272492082026,21285.160465497112,21432.462431894415,21029.477214783423,20752.742849003425
강남구,34893.65544313371,38360.6525144995,36213.127270982906,36177.36877117948,36727.94928524133,36593.087478053145
송파구,36802.42278657126,38939.0239223208,37943.70280183136,37508.06609464827,36607.655844720546,36365.43642153482
강동구,46251.02196853868,46746.36498693433,44962.00661320003,45424.60950698441,44086.22456846795,43863.00329474242
