,2018,2019,2020,2021,2022,2023
종로구,182579,188430,167010,177511,195850,201913
중구,217674,228567,240380,229682,275398,276336
용산구,112476,110863,118621,125736,142406,137168
성동구,105364,102582,105462,128099,178968,183176
광진구,90942,97741,94783,107323,112871,105832
동대문구,103919,81959,88218,95064,95276,91323
중랑구,69724,72084,84466,84927,85954,89367
성북구,90865,85384,88230,99058,102762,111041
강북구,80677,85163,80015,89810,90159,82972
도봉구,81116,77091,76544,84510,91737,131424
노원구,104677,102403,100010,102629,121581,112598
은평구,84483,88177,90367,96815,101765,94233
서대문구,104580,99017,101811,114173,119913,140149
마포구,117935,123115,128470,139995,163022,138163
양천구,92311,94762,96121,103309,108895,114166
강서구,103542,102332,101248,118852,122702,125771
구로구,96555,105182,107811,101315,138304,133081
금천구,83004,100755,103833,108056,96098,105720
영등포구,94521,96464,106710,110217,115800,116895
동작구,100155,104771,109551,130118,131421,141411
관악구,95143,98626,102648,107310,107209,117480
서초구,113964,118110,125049,128544,138922,135964
강남구,132945,141815,144513,150923,174260,171151
송파구,108372,115451,129797,153891,172451,128877
강동구,85699,86943,102027,106353,112843,121075
