,2018,2019,2020,2021,2022,2023
종로구,7016,6998,6898,6916,6989,7030
중구,6607,6652,6580,6550,6540,6653
용산구,5022,5119,5140,5254,5436,5508
성동구,4000,4157,4346,4536,4635,4782
광진구,5118,5078,5170,5337,5392,5385
동대문구,5095,4899,4927,5008,5040,5051
중랑구,4344,4186,4243,4359,4363,4391
성북구,4843,4637,4674,4790,4852,4815
강북구,3915,3820,3863,3928,3912,3879
도봉구,3061,2983,3032,3084,3076,3009
노원구,4575,4553,4615,4689,4636,4603
은평구,4618,4548,4716,4874,4863,4806
서대문구,4567,4439,4430,4496,4530,4552
마포구,9095,9210,9266,9615,9856,10026
양천구,4015,3921,4033,4157,4112,4089
강서구,6203,6519,6783,7116,7203,7251
구로구,5144,4806,4888,4999,5025,5025
금천구,3512,3517,3557,3721,3756,3787
영등포구,7562,7513,7613,7840,7865,8007
동작구,4339,4329,4334,4296,4286,4271
관악구,5725,5730,5861,6001,5908,5910
서초구,7866,7515,7501,7527,7492,7437
강남구,12826,13155,13393,13885,13989,14037
송파구,8100,8237,8440,8715,8786,8856
강동구,5310,5134,5294,5416,5357,5370
