구,양식,일식,중식,한식
강남구,5348,2046,784,10592
강동구,372,374,280,4139
강북구,177,232,175,3191
강서구,1081,756,464,6476
관악구,809,510,378,4638
광진구,554,593,454,3780
구로구,238,312,647,3684
금천구,202,198,408,3171
노원구,319,355,259,3166
도봉구,194,240,156,2337
동대문구,373,309,317,4180
동작구,327,281,225,2502
마포구,1308,1161,490,5376
서대문구,820,348,282,3324
서초구,1203,692,431,5416
성동구,581,348,195,3328
성북구,393,313,263,3230
송파구,757,805,407,6772
양천구,232,300,254,2804
영등포구,710,735,1024,6166
용산구,1564,484,209,2701
은평구,314,381,236,4498
종로구,1535,465,259,4514
중구,975,657,425,4542
중랑구,174,256,188,3392
