,2018,2019,2020,2021,2022,2023
종로구,2.86666666666666666666666666666666666667,3.01666666666666666666666666666666666667,3,2.95833333333333333333333333333333333333,3.01666666666666666666666666666666666667,3.06666666666666666666666666666666666667
중구,2.88333333333333333333333333333333333333,3.1,3.00833333333333333333333333333333333333,2.95833333333333333333333333333333333333,2.99166666666666666666666666666666666667,3.00833333333333333333333333333333333333
용산구,2.73333333333333333333333333333333333333,2.95,2.88333333333333333333333333333333333333,2.89166666666666666666666666666666666667,2.89166666666666666666666666666666666667,2.95
성동구,2.66666666666666666666666666666666666667,2.88333333333333333333333333333333333333,2.775,2.68333333333333333333333333333333333333,2.70833333333333333333333333333333333333,2.75
광진구,2.65833333333333333333333333333333333333,2.84166666666666666666666666666666666667,2.73333333333333333333333333333333333333,2.675,2.68333333333333333333333333333333333333,2.73333333333333333333333333333333333333
동대문구,2.69166666666666666666666666666666666667,2.83333333333333333333333333333333333333,2.75,2.68333333333333333333333333333333333333,2.69166666666666666666666666666666666667,2.73333333333333333333333333333333333333
중랑구,2.55,2.675,2.6,2.53333333333333333333333333333333333333,2.53333333333333333333333333333333333333,2.58333333333333333333333333333333333333
성북구,2.69166666666666666666666666666666666667,2.86666666666666666666666666666666666667,2.80833333333333333333333333333333333333,2.76666666666666666666666666666666666667,2.8,2.85
강북구,2.55833333333333333333333333333333333333,2.675,2.575,2.5,2.51666666666666666666666666666666666667,2.59166666666666666666666666666666666667
도봉구,2.6,2.74166666666666666666666666666666666667,2.675,2.63333333333333333333333333333333333333,2.65,2.725
노원구,2.66666666666666666666666666666666666667,2.85,2.78333333333333333333333333333333333333,2.73333333333333333333333333333333333333,2.75,2.79166666666666666666666666666666666667
은평구,2.51666666666666666666666666666666666667,2.68333333333333333333333333333333333333,2.6,2.54166666666666666666666666666666666667,2.55,2.63333333333333333333333333333333333333
서대문구,2.69166666666666666666666666666666666667,2.86666666666666666666666666666666666667,2.80833333333333333333333333333333333333,2.75833333333333333333333333333333333333,2.775,2.80833333333333333333333333333333333333
마포구,2.53333333333333333333333333333333333333,2.73333333333333333333333333333333333333,2.68333333333333333333333333333333333333,2.64166666666666666666666666666666666667,2.65833333333333333333333333333333333333,2.7
양천구,2.58333333333333333333333333333333333333,2.74166666666666666666666666666666666667,2.68333333333333333333333333333333333333,2.6,2.6,2.64166666666666666666666666666666666667
강서구,2.45,2.64166666666666666666666666666666666667,2.58333333333333333333333333333333333333,2.51666666666666666666666666666666666667,2.50833333333333333333333333333333333333,2.56666666666666666666666666666666666667
구로구,2.575,2.75,2.68333333333333333333333333333333333333,2.65833333333333333333333333333333333333,2.65,2.725
금천구,2.60833333333333333333333333333333333333,2.725,2.63333333333333333333333333333333333333,2.59166666666666666666666666666666666667,2.59166666666666666666666666666666666667,2.63333333333333333333333333333333333333
영등포구,2.64166666666666666666666666666666666667,2.84166666666666666666666666666666666667,2.74166666666666666666666666666666666667,2.70833333333333333333333333333333333333,2.75,2.8
동작구,2.7,2.95833333333333333333333333333333333333,2.86666666666666666666666666666666666667,2.83333333333333333333333333333333333333,2.84166666666666666666666666666666666667,2.86666666666666666666666666666666666667
관악구,2.51666666666666666666666666666666666667,2.675,2.56666666666666666666666666666666666667,2.5,2.525,2.575
서초구,2.73333333333333333333333333333333333333,2.95,2.88333333333333333333333333333333333333,2.86666666666666666666666666666666666667,2.875,2.925
강남구,2.56666666666666666666666666666666666667,2.75,2.68333333333333333333333333333333333333,2.65833333333333333333333333333333333333,2.675,2.73333333333333333333333333333333333333
송파구,2.53333333333333333333333333333333333333,2.71666666666666666666666666666666666667,2.64166666666666666666666666666666666667,2.60833333333333333333333333333333333333,2.625,2.66666666666666666666666666666666666667
강동구,2.54166666666666666666666666666666666667,2.68333333333333333333333333333333333333,2.61666666666666666666666666666666666667,2.56666666666666666666666666666666666667,2.58333333333333333333333333333333333333,2.64166666666666666666666666666666666667
