,2018,2019,2020,2021,2022,2023
종로구,273,235,252,196,230,211
중구,223,214,232,178,186,185
용산구,181,155,170,155,160,168
성동구,148,166,133,166,179,150
광진구,210,213,197,231,233,212
동대문구,201,226,173,183,177,175
중랑구,206,199,193,175,192,204
성북구,197,194,155,169,175,189
강북구,209,177,176,167,181,158
도봉구,140,129,127,113,114,125
노원구,184,208,174,175,200,183
은평구,186,221,175,193,210,202
서대문구,197,173,155,157,160,143
마포구,444,423,416,365,365,394
양천구,181,189,162,159,184,205
강서구,271,318,278,316,339,348
구로구,220,243,182,177,196,206
금천구,168,142,139,130,161,161
영등포구,261,330,319,240,300,328
동작구,178,215,143,172,175,139
관악구,278,256,256,247,270,280
서초구,281,282,275,260,259,225
강남구,557,561,512,479,490,537
송파구,309,391,363,320,377,382
강동구,228,258,203,213,255,227
